"code","name","area","population"
"I distrito (D)","Louvre",1826,"16 888"
"II distrito (D)","Bourse",992,"19 585"
"III distrito (D)","Temple",1171,"34 248"
"IV distrito (D)","Hôtel-de-Ville",1601,"30 675"
"V distrito (I)","Panthéon",2541,"58 849"
"VI distrito (I)","Luxembourg",2154,"44 919"
"VII distrito (I)","Palais-Bourbon",4088,"56 985"
"VIII distrito (D)","Élysée",3881,"39 314"
"IX distrito (D)","Opéra",2179,"55 838"
"X distrito (D)","Enclos-St-Laurent",2892,"89 612"
"XI distrito (D)","Popincourt",3666,"149 102"
"XII distrito (D)","Reuilly",16324,"136 591"
"XIII distrito (I)","Gobelins",7146,"171 533"
"XIV distrito (I)","Observatoire",5621,"132 844"
"XV distrito (I)","Vaugirard",8502,"225 362"
"XVI distrito (D)","Passy",16305,"161 773"
"XVII distrito (D)","Batignolles-Monceau",5669,"160 860"
"XVIII distrito (D)","Butte-Montmartre",6005,"184 586"
"XIX distrito (D)","Buttes-Chaumont",6786,"172 730"
"XX distrito (D)","Ménilmontant",5984,"182 952"
